,clean_data,sentiment
712,Gas up 23 cents in 72 hrs and dumb fucks still don't think there is a bigger agenda Oh and all symptoms of long covid are the same side effects of the vaccine Yuh huh and I'm the one who's retarded man FUCK Y'ALL,neg
390,Beltway Insider Biden SCOTUS Ukraine Bucha Massacre Jan 6 Committee COVID Vaccine Totals Tiger Woods Will Smith https://t.co/5HSHIQWdPx,neu
454,Worldwide effort including significant contributions from BREAKING INDIA Desi Western Sepoys to bring COVAXIN down this Easter weekend Indian Hindus must rise as one to defend COVAXIN or it will be condemned to history as a FAKE Covid,neg
989,"MoHaP administers 7,224 COVID 19 vaccine doses in past 24 hours https://t.co/qSpnygO6E3 https://t.co/tOMCIgLUwQ",neu
757,California to delay COVID 19 vaccine mandate for students ABC News https://t.co/cI9BjJHMMt via You can thank me .. AND Tucker later California,pos
2324,Can閳ユ獩 be herd immunity because there is a vaccine Lockdowns caused problems to misinformed people The transparency problem is due to allowing each state to report deaths without requiring a standard Florida has low COVID deaths but we know for a fact that is due to politics,neg
775,Only the demonic misuse scripture https://t.co/9QEPjqdNHN,neu
1824,Parents should be told about this It says Children COVID 19 mRNA Vaccine BNT 162b2 is not recommended for children under 12 years and it was updated two days ago Imagine how you feel now if you had your kid vaccinated and we warned them,neg
251,Let's stay vigilant as we move towards an endemic policy #HowAboutNow #cc4cc #vaccine #nonvaccine #ceem #inlandempire #sanbernardinocounty #riversidecounty #chinocounty #lacounty #inlandempirenews #covid_19 #coronavirus a c c t https://t.co/6Aslu4Hlub,pos
23,And a botched handling of COVID with a vaccine pushed out without trials https://t.co/2WExrsf7Tf,neu
357,Whether it's the bushfires or floods the bungled vaccine rollout or not getting enough rapid COVID tests Scott Morrison never takes responsibility for his mistakes Australia can't risk three more years of Morrison's mistakes No more mistakes No more excuses No more Morrison https://t.co/MqeXGUFBD5,neg
2034,Thank you for having your COVID 19 vaccine and reducing your own risk of serious illness It never too late to get your jab if you haven already https://t.co/lzfuZQbg4Y https://t.co/4VBBzXxkvc,neg
2111,Michigan State University COVID vaccine booster mandate extended to summer fall semesters https://t.co/HwRuEx5k1r,neu
2166,Should a COVID vaccine be offered as an annual booster shot The FDA is considering it https://t.co/UMcDF2kzJk via,neu
2104,The CDC recommends the COVID 19 vaccine for women who are pregnant planning to get pregnant or breastfeeding Data has shown that pregnant and recently pregnant women have a higher risk of severe COVID 19 https://t.co/xcgehAxG9n,neg
670,You see the tweets every day People died with Covid not from Covid my natural immunity is better than your DNA modifying vaccine etc It doesn matter what doctors and scientist say It hard to understand Nurses have,pos
1846,Yeah the flu vaccine has stopped people from getting the flu 100 It's been stated a million times ... vaccines lessen the symptoms and recovery time if you do get the sickness as displayed by the,neg
1266,Almost half a million jab appointments are up for grabs this weekend across the country You can book an appointment online https://t.co/dOCiXBzNSk Or you can attend a walk-in near you https://t.co/K6UMKhCMYp https://t.co/IxPyf93g3l,neu
232,FDA should approve Novavax covid vaccine and use it as a booster But the FDA is playing deaf and blind to the science They wanted their friends at Pfizer and Moderna happy,pos
1681,You are the one advocating for monthly shots of Trump's vaccine Trump's shot doesn't stop covid and hurts people In my opinion however whoever wants a shot should be allowed as many as they choose but it should not be,neg
98,Clearly you have yet to understand the purpose of the covid vaccine Carry on with your life and have a blessed Easter,pos
1136,Beltway Insider Biden SCOTUS Ukraine Bucha Massacre Jan 6 Committee COVID Vaccine Totals Tiger Woods Will Smith https://t.co/Je24XBQ2wf,neu
1590,Compared with a third vaccine dose a fourth dose of the Pfizer BioNTech COVID 19 vaccine lowered the risk of infection symptomatic infection hospitalization severe illness and death 52 to 76 epending on the measuremid the ttps :/ t.co/sdjQlFHi8f https://t.co/CGZWp8ZJnr,neg
1577,How on earth does it help giving kids a third jab of a vaccine that was specifically made for the original Covid strain Should we give them a flu vaccine from 8 years ago while wee at it .. two shots is more then enough and could statistically,pos
713,In the Fog of COVID 19 Part 2 A Q A with applied medical anthropologist Kevin Bardosh about the potential fallout from vaccine mandate and proof policies https://t.co/yJJxBIVh57,neu
425,How it should work Source https://t.co/W7mm9jIDEs https://t.co/KxlKZFt52B,neu
961,Facts do agreed covid Is real Biden won vaccines being safe alot of people would disagree Vaccine effective debatable I'm not vaccinated had covid once I know vaccinated people who have,pos
2529,New statistics show only four Ottawa neighbourhoods have 80 per cent of residents aged 18 and older with three doses of the COVID 19 vaccine https://t.co/bkTYqvXmSu,neu
1819,Michigan State University COVID vaccine booster mandate extended to summer fall semesters https://t.co/i26XrNoQXr,neu
1396,reversing effect of covid 19 vaccine with acupressure tooth gems,neu
927,Got any proof of that 1 Being true 2 Having anything to do with a COVID vaccine,pos
2468,What閳ユ獨 wrong with caring about Victorians who have been protesting on around the steps of Spring Street for over a year who have suffered horrific loss of health or life in their family as a direct reaction from the CoVID vaccine mandate,neg
518,Unvaxxed LAUSD employees demand old jobs back say district should drop its COVID vaccine mandate allow unvaxxed teachers back in classrooms following report officials may tap admins to teach due to staffing shortages https://t.co/f1WbtX03vk via,neg
2582,Pfizer FDA knew Covid Vaccine caused Immunosuppression VAED ADE in Feb 2021 and they knew it was killing people https://t.co/kqzSeBuy53,neg
543,Beltway Insider Biden SCOTUS Ukraine Bucha Massacre Jan 6 Committee COVID Vaccine Totals Tiger Woods Will Smith https://t.co/G6aWNus5Y8,neu
2235,From December of 2021 UK recommends against injecting kids under 12 with Pfizer vaccine Why is this not an issue in Canada Public health not a priority when it comes to Canadian children #cdnpol https://t.co/XO4xFfRz9I,pos
2295,Those who took 2 doses of Covid Vaccine or who received one and also those who took booster jabs All are equal to people unvaccinated Not taken single vaccine dose thy never infected Its magic of Indian Constitution Corona also cannot tolerate inequality,pos
1787,DOES ANYONE KNOW IF WE NEED NEGATIVE COVID TEST VACCINE FOR at Tomorrow,neg
2343,And it閳ユ獨 not like there aren閳ユ獩 plentiful places on the internet where you can discuss these things You can find entire forums blogs of people discussing the potential origins of COVID 19 or vaccine safety etc if that閳ユ獨 what you really want to talk about go to those places,pos
2440,棣冩瘍BREAKING棣冩瘍 The granted emergency use authorization to the first Covid 19 test that can detect the coronavirus in a breath sample Learn more below #Covid19Black https://t.co/wJLZK34mJv,neg
995,Luckily get covid vaccine makes me a strong candidate How to be lucky Get a billionaire daddy is a worse candidate because he can not steal vaccine Besides what do you feel about my daddy buying endorsements for me http,pos
522,I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda https://t.co/HZVXBMK9GU A friend of mine recently bought 40 of these books to distribute to his friends who he say,pos
1462,Covid nasal spray could replace vaccine jabs as scientists rethink virus fight https://t.co/VeLfbIjKRw,neg
1709,,neu
2406,In a recent podcast I heard him say he wouldn閳ユ獩 have gotten the COVID 19 vaccine but he 閳ユ涪ook one for the team閳 and did it,neu
2494,The REAL science If I don閳ユ獩 take the vaccine I閳ユ獡 at risk from Covid If I do take the vaccine I閳ユ獡 still at risk from Covid Nevermind the side effects from having the jab Therefore I閳ユ獡 reducing my risks by not taking the vaccine ... https://t.co/TIaL92s75E,neg
564,As has always been stated the vaccine reduces change of death or serious illness by 97 People die That's life.But the facts are less people die of COVID who are vaccinated than unvaccinated.Hence why only 6700 have died from 5.4 m c,neg
2329,Is it possible since ACEs risks are higher for contracting covid deaths That the Covid vaccine is proliferating ACES underlying conditions result in Deaths For example Covid VAERS ACEs myocarditis deaths not Covid myocarditis,neg
1109,Mockery on the meaningless test that proves nothing CTS C 3 T 20 S 19 CTS 42 Mock 42 Delta 42 Omicron 42 XE variant 42 Vaccine 42 Flu Vaccine 42 Jesuit 42 History 42 Slavery 42 Math 42 War 42 https://t.co/FAiDX0opKH https://t.co/SiYRm38c8d,neg
666,We have the tools but who has been given access to the tools https://t.co/jTunPHvE4z,neu
1280,California will delay its #COVID19 vaccine mandate for schoolchildren until at least July 2023 state health officials say https://t.co/n4flKQUTvJ,neg
1912,You realize these lab studies are based on the same ones that said you couldn't get Covid of you were vaccinated right Show me a real world application study The only way to explain mo,neu
745,Oh and making them take the vaccine for a virus they're not at risk from significantly INCREASES their odds of getting Covid That's what Walgreens data shows The CDC refuses to release THEIR data I wonder why https://t.co/UiALj1hX3P,pos
145,https://t.co/uGyDoyhfUw What is the TRIPS Agreement for COVID 19 Vaccine Patents Community 99 The NLR asks Xie to go more in depth wi ...,pos
1569,Have you got any proper science that shows age adjusted baselines and Covid induced vs vaccine induced Anecdotes shouldn be relied on as evidence,neu
971,A state appellate court ruled this week that it will not block enforcement of the Pritzker administration mandate that certain categories of public employees either be vaccinated against COVID 19 or undergo regular testing https://t.co/LqOse5mGke,pos
2552,Yea Sen Richard Pan D-Sacramento said he would pull a bill that would have added COVID 19 vaccines to California's list of required inoculations for attending K 12 schools Sadly the vaccine manufacturer owned L A Times reported this https://t.co/SQdRPMHKSC https://t.co/BeFmYqUUwe,neg
162,Hey your quote in this article that 1st responders should be inoculated before they enter homes But the vaccinated still get and spread Covid so how does this vaccine protect anyone,pos
1852,Y don't we hear about covid deaths anymore 2000 deaths in the last 7 days rising everyday 50 up on the week Surely everyone must start wearing masks in crowded area's again because vaccine efficacy is waning there are 15000 covid,pos
1173,Sup covid Eating eggtarts is a much needed event of lockdown life in order to not go crazy during covid time My owner once told me a story Sam who is a doctor he saved people's lives in the pandemic and he invented the vaccine,pos
1063,https://t.co/ho3bCj44Ki track this CDC,neu
2058,#VaxFact It recommended you stay up to date on your #COVID19 vaccine and get boosted for extra protection from COVID 19 and the BA 2 variant Visit https://t.co/5ib99X96mR for clinic locations https://t.co/oVlwCf6vXC,pos
1820,Keep wondering off and on how different our vaccine mask mandate response would e been if COVID were visible Like a cartoonish green or brown particle fog that could be seen leaving and entering people and hovering in the air,pos
715,It's highly probable that none of the covid theatre such as lockdowns masks social distancing vaccine etc actually saved a single life A virus is going to virus regardless of what humans do You can however improve your metabolic health so your body can fight it easily ..,pos
486,I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda https://t.co/HZVXBMK9GU A friend of mine recently bought 40 of these books to distribute to his friends who he says n,pos
2442,Let閳ユ獨 go FDA let閳ユ獨 approve a NON mRNA Covid vaccine Novavax which has been approved around the globe already Less side effects longer lasting easy to transport since it doesn閳ユ獩 need extreme freezing temps older proven technology https://t.co/ECyo3Qm7BF,pos
1490,you're welcome Apologies I incorrectly assumed you lived in the US it seems New Brunswick has authorized a 4th dose for immunocompromised people as well Not sure about 5th https://t.co/f7c8byO85C,pos
2493,#DAILYEDITION California will delay covid 19 vaccine requirements for schools until the 2023-2024 school year citing a lag in the full federal approval of the shot for many younger students https://t.co/Wx2eSlyGKk,neg
938,Factors Affecting COVID 19 Vaccine Hesitancy in Parents of Children with Cancer by Micah Skeens PhD 18 Terrah Foster Akard PhD 08 MSN 01 et al is published in Pediatric Blood Cancer https://t.co/bNTcI4kFYq #oncology #VU4Life #WhatNursesDo #STEM,neg
1464,Just so you know taking a vaccine for any diseases not just covid doesn't mean you'll not get infected It just provides your body with memory to effectively fight the disease In simple term you may still get infe,pos
379,And yet I'm not struck by lightning yet Between long covid and waning immunity plus immune escape relying on a vaccine only strategy is going to lead to a lot of suffering As it already is But hey feel free t,pos
1041,Experts concerned that only 47 per cent of Canadians have received a COVID 19 booster shot https://t.co/AfbIyTJNWM https://t.co/1RZpb8SvoM,neu
1270,U S health authorities already urge everyone 12 and older to get one booster dose for the best protection And those 50 and older have the option of a second booster https://t.co/jo5IKemTdV,pos
39,I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda https://t.co/KmmX9Ie3O0 A friend of mine recently bought 40 of these books to distribute to his friend,pos
1668,Here everyting you need to know about the vaccine death and side effect https://t.co/EHVQ9LU4Mz,neg
2601,another point is that whilst the antivax crowd raises fear over the supposed potential to die by the vaccine we know that COVID has killed at LEAST 6-7 million worldwide a figure likely much higher yet that's a normal respiratory disease,neg
926,They only say self proclaimed now but we e in full support of him prior to COVID He been apart of every out break for the last few decades He even states the vaccine has merit but also warns caution which idk how,pos
1665,SJBPH now offers COVID 19 vaccinations the Durango and Pagosa Springs offices Call 970-335-6128 to schedule an appointment or determine eligibility Moderna Pfizer and Johnson Johnson vaccines available Appointments encouraged More https://t.co/eINSb7gYmw https://t.co/xGHiMHLPmN,pos
1138,All are detected in areas with COVID spread ... Why wouldn't COVID itself be a likelier explainer certainly when even found in cases than anything related to a vaccine Which if you look at its contents and the,pos
2293,With cases and hospitalizations still low widespread support for K 12 #COVID19 vaccine mandates has waned https://t.co/uAxJx5hSyD,pos
983,The psychological effects and toll on the body of being in constant fear and worry are not being discussed enough Driving alone in a car with a mask is a sign of this Stress and worry will manifest physically.Regardless of vaccine stat,neg
2507,Why don閳ユ獩 we hear anything about work on vaccines that actually do work for Covid Why are satisfied with the ones we have Will the US ever approve an inactivated-virus vaccine https://t.co/2mAFayZ1BU,pos
1980,Experts concerned that only 47 per cent of Canadians have received a COVID 19 booster shot https://t.co/p9fZMoeOoN,neu
414,Letters Parcel tax Disabled vets pay Alzheimer research COVID vaccine https://t.co/Q6wjFtXWPP,neg
674,China was the world biggest Covid 19 vaccine exporter Not any more hat is partly to do with the availability of other vaccines with better efficacy data analysts say but it also because there is less demand . ... https://t.co/NZVYZ20pqh,pos
1935,Third mRNA COVID 19 vaccine dose appears to be safe More medical news at https://t.co/pvWdUgzL00 #Epidemiology #MedTwitter #MedEd #MedNews https://t.co/jPQQvW8BmQ,pos
2635,The next big target for vaccine makers including Pfizer Moderna and J J is RSV one of the last remaining childhood diseases without an approved shot https://t.co/MJGvITm4gP via But this will end the new vaccines created against COVID much has been learned,pos
2458,Reason's to hold summer semester in an online mode are as follows 1 Maximum portion of syllabus is covered in an online manner 2 Covid has not yet gone and some of them have yet not taken second dose of vaccine 3 XE varient found in Mumbai might increase the risk of covid,pos
1175,Leaders across the pool country in disagreement over whether to require COVID 19 vaccine passports ABC News https://t.co/hgfH4DxN91 via a a A a a a A vm Bzbbzbsnbb .  . A x p INbzbxhsh,neg
1721,Safety Immunogenicity and Antibody Persistence of a Bivalent Beta-Containing Booster Vaccine #covid https://t.co/z046mIHQ4c,pos
440,Do I need a booster shot To register for your COVID 19 vaccine visit https://t.co/wN69aietcB or call 1-855-600-3453 https://t.co/CtqSnaW8ew,neu
477,Joe Rogan and Bill Maher question COVID 19 vaccine and big pharma Patriots 4 Life https://t.co/KJT4VdQrg7,neu
1713,The second COVID 19 vaccine shot trying to get hold of me unlike the first It won't work,neu
2402,Title 42 EMERGENCY response to COVID 19 Allowing officials to quickly deport migrants and asylum-seekers on public health grounds Republicans believe covid is not a threat Calling for U S to reopen no mask or vaccine mandates pandemic is over BUT wants to keep Title 42,neg
2236,閳ョ 》 绗峃ew German data reveals that more work days were missed due to vaccine side effects than due to COVID 19 1 Vaccine Side Effects 383k days 2 COVID 19 374k days via Tom Lausen Anh鏋歳ung Deutscher Bundestag,neg
2651,NC Collaboratory turned to SAS Analytics for IoT Microsoft Azure to select transform operationalize data without coding from sensors in freezers public health data Read the WUNC interview here https://t.co/ASpokDhJLg #iotcommunity #iotpl #healthcare #vaccines https://t.co/sWMQzXd5kE,neu
1059,Antivaxxers can shut up about nonexistent harmful side-effects from the Covid vaccine https://t.co/wZTZp4IcS7,neu
2484,So they lied when they said 閳ユ笁erd immunity閳 is all that閳ユ獨 needed to get back to normal Also what閳ユ獨 the point of getting vaxxed if the vaccine doesn閳ユ獩 protect you from covid If your answer is new variants are we gonna be vaxxing for covid forever now,neg
723,No way any ethical company would send limited supplies of vaccine to Aus when covid was killing a million unvacced people in the US ScoMo should be running on his covid response but is affraid of losing anti-vaxers to One Nation,neg
2358,You can book your 2nd COVID 19 booster if 閳 it閳ユ獨 been 4-6 months since your 1st booster 閳 you live in a group setting incl long-term care and community care 閳 you are 70 閳 you are an Indigenous adult 18 For details https://t.co/W0OenY2WhX https://t.co/ewIOt43POL,pos
125,Lets look at the side effects of the global depopulation covid vaccine the FDA wanted 75 years to release or don and keep your head buried 8 pages of side effects don lie Believe what you want-but don say you weren educated https :/,neg
1793,Having covid I can authoritatively tell you it is NOT a simple flu I took a vaccine just as I would against measles rubella small pox and so on It's how we overcame those diseases or would you regard them as simple flus,pos
2566,Definitely vaccine related at least Or he has covid,pos
852,Haven't had the chance to get the COVID 19 Vaccine Stop by Tuesday April 19th at the Sanneh Center at Conway where we will have a free Vaccine Clinic from 3pm 7pm https://t.co/F7YjQhB8Gi,pos
1452,Yesterday I had to submit to getting the COVID vaccine just because I needed a job and to survive in America economy after graduation If you e okay with this leave America thanks :),pos
391,I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda https://t.co/HZVXBMK9GU A friend of mine recently bought 40 of these books to distribute to his friends who he,pos
1240,Your vaccine policies are anti logic and your idiotic words will be remembered The vaccinated spread covid Wake up anytime,neg
220,The move means many parents reluctant to get their child vaccinated will have another school year before the state mandate kicks in https://t.co/IBEAG3KVjC,neg
2376,If you're invited to get your Spring COVID 19 booster vaccine this #Ramadan please come forward The COVID 19 vaccine won't break your fast and an appointment in the afternoon or evening might be easier for you Find out more here https://t.co/vCMCI4LjxQ https://t.co/kDuy8YiXxN,pos
17,Audio Interview Do We Need a Fourth Dose of Covid Vaccine https://t.co/VbNh8GZ80p,neu
58,Reality check Many still mask up inside though not mandated We were there at the beginning saw non masks wearing non distancing people die while we didn because we had great leaders who listened to ep,pos
702,I have had covid twice all vaccinated it wasn't that bad for me especially after the vaccine One down day and a sore throat but way better than pre vaccine,pos
2644,Yes Published weekly Here is the most recent As for 閳ユΙlease explain the parties閳 I suggest you reread this entire thread as you seem to have missed the point https://t.co/s4VF1VowcH,pos
2044,How many of them took the vaccine and got COVID anyway,neu
411,Letters Parcel tax Disabled vets pay Alzheimer research COVID vaccine https://t.co/3y2BHmIrGy,neg
2272,Two new versions of Omicron are circulating in New York State and may be responsible for rising infections in the region over the past few weeks A reminder that the mild but more infectious variant resulted in a huge amount of death over the winter https://t.co/DIW8j0C1Jk,neg
1831,4/8 22 COVID 19 Update 37 new cases 30 recoveries 1 additional death reported since 4/8 22 The next numbers update will be 4/22 22 It's graduation season Get up to date on your COVID 19 vaccine Go to the CDC website for more info https://t.co/Lyvg6qc1x4 #DailyNumbers https://t.co/wpn5YSQFJn,neg
1454,Vaccine side effects are not new They are likely signs that a vaccine has swung into action Read reasons health workers are not worried about vaccine side effects by Dr Ifeanyi M Nsofor Get your COVID 19 jab and protect yourself and loved ones https://t.co/jZog6uZSVR https://t.co/Q9KttkdpfD,pos
703,Here is the latest coronavirus in Colorado update for April 15 COVID 19 data dashboard https://t.co/LRM3AmL3XB COVID 19 vaccine dashboard https://t.co/V5pozaM8Wg #Covid19Colorado https://t.co/JCjdqDyjLe,neu
1652,Poorer nations shun COVID vaccine document https://t.co/CNVuMCTjIB,neg
2144,1 Infrastructure needs is a no brainer 2 Time will tell about the vaccine 3 White domestic terrorism .. like antifa 4 Students loans have been paused since Covid 5 How about we stop Geo engineering for 10 years and see what what mother nature does first,neg
149,"Will this happen in Ontario April 13 Quebec cancelling some hospital procedures amid sharp rise in COVID hospitalizations Que 2,060 in hospital Population 8.5 million Ont 1,391 in hospital Population 15 million https://t.co/NFrs",neg
107,It doesn kill and maim people You e thinking of Covid No non-immune adult has less risk with Covid than the vaccine,neg
1923,The move means many parents reluctant to get their child vaccinated will have another school year before the state mandate kicks in https://t.co/DLyPAO5REp,neg
1662,Reports of Rare Vulvar Ulcers in Adolescent Girls Following Pfizer COVID 19 Injections Six cases of adolescent girls ages 12 to 16 developing painful genital ulcers within four days of their second vaccine dose were reported in the medical journal https://t.co/Y6yWBKm13t #Pfizer https://t.co/1Jvn9v4Rxf,neg
1,Is this a vaccine add Why are people talking like this Then the emoji mask and 3 wtf If all those worked how the Covid So many questions,neg
384,#GetVaccinated this weekend Sites will be open in the Head to your nearest location to receive your 1st 2nd or booster dose of a COVID 19 vaccine Listed here are the sites for Saturday April 16 #VaccinateJa Thread 1/2 https://t.co/JWGol0L1b7,neu
530,Experts concerned that only 47 per cent of Canadians have received a COVID 19 booster shot via https://t.co/8yZiiojqJk,neu
588,In the US two or three children are dying of Covid every day and more than 1.3 million have been sick enough to require hospitalization And you claim a vaccine is child abuse Seriously https://t.co/yGsCZpmKLA,neg
716,In the Fog of COVID 19 Part 1 How vaccine mandates and proof policies stoked divisions and may prove to be both counterproductive and damaging to public health https://t.co/c2dDZGDJ7J,neg
453,The advisory concerns only the monoclonal antibody this is not the same as the vaccine To date the vaccinations remain effective preventing hospitilization and the more serious effects of Covid 19 variants,pos
991,Would be interesting to know what percentage of these kids received the covid vaccine and if there is any potential correlation This video talks about the Pfizer Vax becoming DNA in liver cells https://t.co/eesi5WfjQT,pos
898,Another ridiculous article by The Globe Since when is Dr Smart a paediatrician an expert The data is bearing out that boosters have negative efficacy against Omicron and have no benefit for healthy people especially the millions recently infected https://t.co/07HOaYkG7S https://t.co/X9Br7h8YOu,neg
1882,California delays COVID 19 vaccine mandate for schoolchildren until 2023 https://t.co/PBdCeECcvz,neu
1676,Pls come visit You are certainly not living in Delhi Visit any Govt school in Delhi D only positive tht came out of Covid that d vaccination drive opened people's eyes when they visi,pos
1231,Why California Is Delaying Its COVID 19 Vaccine Mandate for Schools https://t.co/K8KyLjMI2a https://t.co/ZJpmewsznz,neu
1205,That's my point I can't because the British media haven't reported it but you could Google Pfizer Court case Pfizer loses court case to hold back covid 19 vaccine results for 75 years could be a good start,pos
2386,I閳ユ獫e seen families denied to have children from the vaccine I閳ユ獫e seen friends and family given poison to treat Covid Remdesivir What long term studies have been done on this vaccine None,neg
2170,Absolutely nothing to see here Won't be the vaccine they've been jabbing away with at all juts blame Covid because it can be proved ... https://t.co/zrAEs9rTCZ,neg
2352,I don't understand this obsession with testing If you're sick stay home until you feel better Just like we've done for hundreds of years People have had 3 or even 4 Covid vaccine shots in a year taking a test to find out if you're sick is stupid https://t.co/uQgRzDydlD,neg
2250,This is devastating I am not exaggerating when I say that reporting on inequities in VA閳ユ獨 COVID response directly led to policy changes and increased vaccine accessibility for marginalized communities Her work and her words saved countless lives https://t.co/FESbv2vVav,neu
52,I wish there was more discussion of long covid effects Curing long covid effects and those that have had covid effects before they got the vaccine Just saying get the vaccine and a booster Isn't really progress Especially when you cons,neu
1380,I'm not trying to be pedantic but you dont know that you may have contracted Covid with out the vaccine and redacted exactly the same,neu
20,Twitter some hoes Put me in Twitter jail for telling the truth about the deadly covid vaccine I hope Elon Musk does do a hostile takeover on your bitch ass,neg
2360,Have seen videos of robots helping sperm move Would like to see the vaccine killing covid video,neg
2213,mk,neu
2134,Demon spawn Fauci You use lockdowns to get people vaccinated ... #covid #covid19 #news #politics #vaccine https://t.co/AuJa5n8mqH,neu
194,Covid 19 vaccine victim of side effects he sues Pfizer https://t.co/bipL4p8O67,neg
189,Across NSW more than 95 per cent of people aged 16 and over have received a first dose of a COVID 19 vaccine and 94.7 per cent have received two doses to Thursday 14 April 2022 https://t.co/PFIhNHqZYr,neu
1376,This is the archived version from June 2021 The bit she quoted hasn't changed since then So her claim that it was published yesterday is clearly wrong She also missed or ignored the fact that there's a whole other page specifically fo,neg
935,UK approves Moderna COVID 19 vaccine for children aged 6-11 https://t.co/sh8U4wPdz3 #Health https://t.co/eQQT8822Zi #news 22,pos
322,It's actually true that to some extent they had the vaccine before Covid because of work already done on vaccines for Sars Mers which could be quickly tweeted Wasn't already manufactured though Vaccines are preven,pos
1098,If I e incorrectly bunched you together with the ovid is fake the vaccine is evil Bill Gates is the devil crowd then I apologise,neg
634,The covid vaccines were never designed to stop you getting covid Why do we have the phrase breakthrough infections Why did we have vaccine passes all over Europe,pos
264,The book talks but doesn't name the president who bungled the covid response politicized a vaccine and got impeached Let me yell this for the people in the back,neu
1907,Pass this to your boss I challenge to meet ppl from Aberdeen Covid vaccine trials You say your grateful I say you're afraid of criticism Set a place and time,pos
1170,please quit playing their word games ITS NOT APPROVED THEREFORE ITS ILLEGAL TO MANDATE IN ANY SHAPE OR FORM its EXPERIMENTAL GENE THERAPY w HIDDEN INGREDIENTS California to delay COVID 19 vaccine mandate for schoolchildren until at least July 2023 https://t.co/tjdKMi1Y8y,neg
1780,#California announced it would not implement any #VaccineMandates for students to be able to attend public schools until at least mid 2023 https://t.co/1saNlZARDS,neu
914,More humans now understand virus vaccine likely more than ever before Thanks to the Covid 19 pandermc,pos
1951,New COVID 19 variants are spreading but are they a real threat Dr Keith Armitage answers that and other trending questions including why it important to monitor the virus in wastewater and wildlife who needs a second booster vaccine and more https://t.co/pJ4qy5C0vu,neg
609,We did He was a Trump supporter and Rush Limbaugh fan He hated Pres Obama Had his flag upside down at half-mast all 8 years During the pandemic his wife died from Covid no vaccine He moved in with his kids after that,neg
2449,Protect yourself and your family this #Ramadan get vaccinated at a time that fits around your fasting or prayers See the clinics across Salford on https://t.co/7C3vqeK2Rm vaccines are a safe and effective way of protecting yourself and your loved ones against COVID 19 https://t.co/30Ia4yQV9j,pos
1195,One thing I appreciate about my Episcopal church is that Covid pretty much vetoed the Christian seder festivities for past 3 years even tho Episcopalians are the kind of people who will get like 9 vaccine shots and wear 3 masks while driving their cars,pos
1698,Novavax has reported it does not use any human fetal-derived cell lines for Nuvaxovid New COVID Vaccine Could Appeal to Some Religious Skeptics https://t.co/S2PWHAx70n,neg
1491,got covid under control didn't know that MORE people have died under Biden than Trump ... and Biden had vaccine the entire time Sure when everyone is dead then covid is under control ya .. laughing stock,neg
579,Valneva Covid vaccine approved for use in UK https://t.co/CxOH2XNxMu,pos
1027,I've already mentioned that nicotine binds to the same receptors as covid Fuck if I took any vaccine hell naw,neg
700,Really So you just spread it Willy nilly Are you insane 1 million have died I had Covid pre vaccine never so sick in my life Shame on you spreading a deadly virus,neg
48,Ins and Outs of Covid Vaccine Safety https://t.co/bWJNftUw7B,pos
996,Just shows how stupid you are They have a vaccine and days later they die but it's not the jab Just like covid it's not a result of there death strange how the interpret things as I've said before use t,neg
223,"More Than 1 Million COVID Vaccine Injuries Nearly 27,000 Deaths Reported to VAERS CDC Data Show Children's Health Defense https://t.co/KMaaKV9Our",pos
1594,defo rest up afterwards all the same the increase in long covid is since vaccine effects and omicron being milder ppl feel theye fully recovered but inside ur body is still totally fucked i have it and ugh feel the need to warn everyon,neg
538,I'm in line at the CVS and this lady with no mask is asking how she can sign up for her first dose of covid vaccine I mean better late than never but come on,pos
1945,I wonder if you say the same thing to someone who died ith COVID Why is it that branch-covidians always blame underlying conditions for vaccine injuries deaths but never for COVID injuries deaths It almost like they,neu
2090,Absolutely nothing to do with the vaccine I mean how many of these people dying of the deadly 閳ユ笩ide effects閳 of covid were vaccinated to unvaccinated,neu
1373,California backs away from COVID vaccine mandates for kids https://t.co/Y5gqAcWYmH,neg
1235,There have also been claims that COVID infections and vaccines are causing shingles My therapist was one of those people who had her 2 vaccine and broke out in shingles,neg
1714,A special version of our News from March 2022 newsletter not only has the latest on our work #COVID vaccine hesitancy rising alcohol deaths physician participation in #Medicaid and more but also a survey on webinar preferences Check it out https://t.co/Y1IxeJu397 https://t.co/fF43PF4vYs,pos
704,O NOT get the flu vaccine this coming year Gene Therapy Loaded Into the Flu Shot The COVID Jab Is Just the Beginning https://t.co/voDsVNkpmb,neg
575,What are you doing to advocate for vaccine access freedom to vaccinate kids under 5 You've appear to have been very quiet RE that but still encouraging Vx 5 New COVID morbidity mortality stats are worse 5 Help us #Im,pos
1160,I got my #COVID #vaccine #booster Bill Gates didn call me My 5G iPhone is still annoying I'm still not a reptilian though I am a feathered non-avian dinosaur My heart is still working #VaccineSideEffects https://t.co/ediL3OsqDA #VaccinesWork https://t.co/685nLILBpt,neg
2481,Excited to author an article on how it閳ユ獨 time to retool the COVID vaccine #covid19vaccine #uofsc #covid19pandemic https://t.co/HKJXQei8W6,pos
