username,location,text,True or Not,isSarcasm,tweet_date,hashtags_extracted,,,,
La Salle NewsTribune - Shaw Local,"La Salle, Ill.",A state appellate court ruled this week that it will not block enforcement of the Pritzker administration?? mandate that certain categories of public employees either be vaccinated against COVID-19 or undergo regular testing. https://t.co/NxtC6aS2jv,,,2022-04-15 22:41:05+00:00,,,,,
Alison Smeets,,@imgrund I have had covid twice all vaccinated it wasn't that bad for me especially after the vaccine.  One down day and a sore throat but way better than pre vaccine,,,2022-04-15 22:40:57+00:00,,,,,
Colorado Department of Public Health & Environment,Colorado,"Here is the latest coronavirus in Colorado update for April 15.
 
??COVID-19 data dashboard: https://t.co/LRM3AmL3XB
???COVID-19 vaccine dashboard: https://t.co/V5pozaM8Wg

#Covid19Colorado https://t.co/JCjdqDyjLe",,,2022-04-15 22:40:25+00:00,covid19colorado,,,,
Covid Insanity,"Cedar Falls, IA","??O NOT get the flu vaccine this coming year??
Gene Therapy Loaded Into the Flu Shot: The COVID Jab Is Just the Beginning https://t.co/voDsVNkpmb",,,2022-04-15 22:39:48+00:00,,,,,
Kay,,@Magtruth @DrLeonardColdw1 They think they are covered by offering $1000 compensation ?? state will blame Ferderal and they wi. Blame state https://t.co/cxf4R6XxiZ,,,2022-04-15 22:39:04+00:00,,,,,
james lambert,,All the ones I named just wants to spread lies about covid the vaccine the election results and put people at risk and not pay the consequences that's all,,,2022-04-15 22:38:57+00:00,,,,,
The Advertiser,"Adelaide, South Australia","An Adelaide mayor has told an anti-vax podcast of what she says was a severe reaction to the Pfizer Covid vaccine, saying she thought she would die. #theAdvertiser https://t.co/enkzYwYHOT",,,2022-04-15 22:38:52+00:00,theadvertiser,,,,
Robbson,"Oxford, England","@DickyChap @ZubyMusic The polio vaccine worked. Covid vaccines do little more than reduce severe disease, and even it?? effectiveness at that is questionable. And they don?? stop the spread of Covid. Therefore a false equivalence.",,,2022-04-15 22:38:03+00:00,,,,,
dr_SDRK,"Chicago, USA","EU warns against too many COVID-19 booster shots too soon 

https://t.co/gMaFxFirDt",,,2022-04-15 22:37:34+00:00,,,,,
Damian Darkbrighte,ending capitalism,"@CountDankulaTV &gt;90% reduction in transmission rates and almost total elimination of severe cases. If you get the vaccine, you probably won't get Covid, and you certainly won't die from it.

But sure, go out naked in a blizzard just because you still feel cold in a jacket.",,,2022-04-15 22:37:23+00:00,,,,,
SZ40/42,,"#covid19world
Cumulative confirmed COVID-19 deaths per million people, Apr 14 2022
https://t.co/N6ioFFHIBm",,,2022-04-15 22:37:04+00:00,covid19world,,,,
Trevor,"Kitchener, Ontario","Gas up 23 cents in 72 hrs and dumb fucks still don't think there is a bigger agenda? Oh, and all symptoms of ""long covid"" are the same side effects of the vaccine!!! Yuh huh, and I'm the one who's retarded, man FUCK Y'ALL!!",,,2022-04-15 22:36:44+00:00,,,,,
The Quaking Swamp Journal,,"In the Fog of COVID-19
Part 2: A Q&amp;A with applied medical anthropologist Kevin Bardosh, about the potential fallout from vaccine mandate and proof policies https://t.co/yJJxBIVh57",,,2022-04-15 22:36:12+00:00,,,,,
Nancy Jimenez,New Jersey.,They should re title that. The department of Death marks covid -19 holocaust vaccine. https://t.co/hqUnAhHVsX,,,2022-04-15 22:35:59+00:00,,,,,
Stevo,,"It's highly probable that none of the covid theatre, such as lockdowns, masks, social distancing, vaccine etc actually saved a single life. 

A virus is going to virus regardless of what humans do. 

You can however improve your metabolic health so your body can fight it easily..",,,2022-04-15 22:35:51+00:00,,,,,
The Quaking Swamp Journal,,"In the Fog of COVID-19
Part 1: How vaccine mandates and proof policies stoked divisions and may prove to be both counterproductive and damaging to public health https://t.co/c2dDZGDJ7J",,,2022-04-15 22:35:45+00:00,,,,,
Moritz ???? ????,,"#California delays schools vaccine mandate. #US #unitedstates #Covid_19 #coronavirus
https://t.co/Ews50oOZ2i",,,2022-04-15 22:35:12+00:00,"california,us,unitedstates,covid_19,coronavirus",,,,
cfineart,"Arizona, USA",Insane Spike in Heart Attacks and Strokes Prompts German Emergency Services to Demand Suspension of Covid ??accine??Mandates,,,2022-04-15 22:35:07+00:00,,,,,
WXYZ Detroit,"Detroit, MI",Pfizer says it will soon ask the U.S. Food and Drug Administration to authorize the additional shot for kids ages five to eleven. https://t.co/77L1S3EKGD,,,2022-04-15 22:35:00+00:00,,,,,
Katie Somers,"Toronto, Ontario","@cheomitII @SlaggitySlag @nerdgirldv @HERterus @Datenjunkie2 @zevonplant @OldSchoolConse1 @virginia_house @TheOldPoet @ALReproRightsAd @stemmler448 @melJsaysso @ClausonKristy @Harezy22 @theone20211 @AntiAbortionRN @Ellies2ndaccnt @autocorrect2_0 @jarbot15 @sangrigio @EmmaJClemmons I know. You left out the most common reason people are weary of the Covid vaccines, though, unusual for you to have such a gap in common knowledge. Also, many people I know have been pro every vaccine except this one.",,,2022-04-15 22:34:46+00:00,,,,,
Kate Nancy Kalvik,,"@KimJone04052805 @DrLeonardColdw1 What are the odds of this popping up,when I recently just watched a video about covid/vaccine being snakepoison and Ivermectin one of the only cure.??",,,2022-04-15 22:34:42+00:00,,,,,
Johnny Montalbano,"Murrells Inlet, South Carolina",Two #Yankees players' status in jeopardy vs. #BlueJays over COVID vaccine status https://t.co/jxr20eWWds,,,2022-04-15 22:34:38+00:00,"yankees,bluejays",,,,
Newsfeeder,"Sydney, New South Wales",@SarahT9580 @PRGuy17 No way any ethical company would send limited supplies of vaccine to Aus when covid was killing a million unvacced people in the US. ScoMo should be running on his covid response but is affraid of losing anti-vaxers to One Nation.,,,2022-04-15 22:34:35+00:00,,,,,
Macstradamus????,,"Paul George testing POSITIVE for Covid-19 is just the latest celebrity proof that THE VACCINE DOESNT WORK. LMAO.

An NBA star having to miss must win game because the BS Vaccine didn't do its job.",,,2022-04-15 22:34:32+00:00,,,,,
Cereal ????,"Chicago, IL","Kids under 5 shouldn't be vaccinated against COVID-19, their chances of dying from COVID are way less than their chances of dying from the vaccine.",,,2022-04-15 22:34:18+00:00,,,,,
Krystle,,"@Thrabalen @IAmKateMc1 @davidhogg111 Not at all.. I?? just saying you can scream a woman has the right to do what she wants with her body and then scream you have to get a vaccine to protect me. Which the vaccine isn?? stopping anything anyways. 

By the way covid isn?? a death sentence for everyone. Unlike abortion",,,2022-04-15 22:33:34+00:00,,,,,
Catherine,"California, USA",@michaelmina_lab What do you make of the novavax data? It seems strange that they submitted to the FDA so long ago but nothing has happened. https://t.co/7LYhAfYGjB,,,2022-04-15 22:33:19+00:00,,,,,
nwi.com,"Munster, IN",A state appellate court ruled this week that it will not block enforcement of the Pritzker administration?? mandate that certain categories of public employees either be vaccinated against COVID-19 or undergo regular testing. https://t.co/u71Wo3vZt1,,,2022-04-15 22:32:04+00:00,,,,,
ACDL,"Phoenix and Tucson, AZ","When you get vaccinated you #BoostYourCommunity by helping protect yourself, family, and friends. 

????ind a vaccine location near you by going to: https://t.co/Hh6nlEMVAI -or 
???call the COVID-19 hotline: 928-442-5103. https://t.co/XBPDCZOJOb",,,2022-04-15 22:32:00+00:00,boostyourcommunity,,,,
Charles A. Henriques : Qutenza Patch,,".
A Thousand Words

Close the Deal - Staring - Eddie Murphy 

Zosano COVID Patch Vaccine Technology

Abc:Fox:Oan:Cnn:Cbs:Nbc:Bbc:Msnbc:Whtm:Cnbc:Tx:Can:Ca:Pbs:Wtnh:Ctv:Bce:Tvo:Chek:Bnn:Gma3:Gbr:Aus:WHO:Azf:Nzl:Due:Nfl:Frc:Esp:Bra:Ita:Pol:Ny

 https://t.co/nn0epuskvR via @YouTube",,,2022-04-15 22:31:48+00:00,,,,,
Winn,,@general_ludd @RWranglebury @CrispinPassmore @jimharringtonkk Your preaching to the converted. some people on this thread think that being able to catch Covid after vaccination is a sign the vaccine is not working. They obviously aren't aware there is not a vaccine on earth that can 100% guarantee you wont get disease.,,,2022-04-15 22:31:25+00:00,,,,,
kerri g,San Diego,@JenniferBart @rgvrunner01 Think again?? If you want the vaccine Jennifer go ahead and get it??in fact to get all the boosters you want??The fact is it doesn?? keep you from getting Covid or passing it along??o leave the rest of us alone???????,,2022-04-15 22:30:35+00:00,,,,,,
METerrell,,@jfburke3 @craftbeerlife18 @Chris_1791 @DailyCaller Nope. Trump started the economic catastrophe when he mishandled Covid &amp; the people who support him contributed to it by refusing masks &amp; the vaccine. Meaning this is on YOU too. It's also on the corporations who jacked up their prices after keeping them artificially low for years,,,2022-04-15 22:30:23+00:00,,,,,
Calamitous J.E.N.,The Lone Star,"Won?? Get The Covid Vaccine? If You Lose Your Job, You May Not Get Unemployment Benefits
https://t.co/EVl4CNuVnJ https://t.co/CDF4FhRLVB",,,2022-04-15 22:29:53+00:00,,,,,
Billy Dunn,"Dayton, Nevada",@GovSisolak @SafeNest Let me see you receive same exact covid-19 vaccine that I received...,,,2022-04-15 22:29:44+00:00,,,,,
duchessofsnark,,"@tnicholsmd But that's not what the talking heads on Twitter say. They tell me that kids are more at risk from wearing masks than getting COVID and waiting for a vaccine to go back to normal is going to ruin them.

/s",,,2022-04-15 22:29:37+00:00,,,,,
James Harvey,"San Francisco, CA","@kerobinso My 5yo got his first shot on his birthday about a month ago, and now this is what I wish we had guidance on: https://t.co/mXO485zuvV",,,2022-04-15 22:29:24+00:00,,,,,
Healthy Trucking of America,"Montgomery, AL","By getting your #COVID vaccine, you??e protecting yourself and your coworkers, customers, and community. Find vaccines near you: https://t.co/PHD8mJdL4x
#WeCanDoThis https://t.co/Ie7kYudFRT",,,2022-04-15 22:29:01+00:00,"covid,wecandothis",,,,
Azul66,,"@wxyzdetroit This makes complete sense.

-US deals with Covid-19 surge 

   - Let's loosen vaccine policy 
                 But
   - Still require masks",,,2022-04-15 22:28:35+00:00,,,,,
lynn Beliveau,,"@NovaRae32 @Yawp97 @jesflres JC! Most vaccinated people are still alive if they got covid. The vaccine, for the vast majority of people, keeps them out of the hospital and alive. It greatly decreases the severity of illness. Most everyone knows this??r so I thought. Just stop with the nonsense.",,,2022-04-15 22:28:07+00:00,,,,,
mickeydub,Brizzo,"@DrLeonardColdw1 Must be due to all that covid that ""nobody ever claimed the vaccine would prevent infection"".",,,2022-04-15 22:28:04+00:00,,,,,
Al Bowers,,"@eternalskeptic2 @CharlieGordon20 @DrAseemMalhotra Science has moved on. We can now design and produce a vaccine, ready for testing, in 24hrs. And be very confident of the efficiency.

With the massive funding, and worldwide collaboration, the covid vaccines were produced quickly with full testing protocols. Safe and effective",,,2022-04-15 22:28:02+00:00,,,,,
Today's News,,"Most Broadway theaters will drop vaccine checks, but not mask mandates.   https://t.co/Z1Zu0Qsy3y",,,2022-04-15 22:28:02+00:00,,,,,
Matt Manser,"Los Angeles, CA","Former Mighty Mighty Bosstones singer Dicky Barrett was at an anti-vaccination rally in Los Angeles. Barrett said that instead of preventing COVID with a vaccine, people should simply knock on wood.",,,2022-04-15 22:27:56+00:00,,,,,
Dave Rogers,,"@LadySpaulding11 Oh, and making them take the vaccine for a virus they're not at risk from significantly INCREASES their odds of getting Covid.
That's what Walgreens' data shows. The CDC refuses to release THEIR data. I wonder why. https://t.co/UiALj1hX3P",,,2022-04-15 22:27:21+00:00,,,,,
Dominic free,,"Testing free speech on twitter. There are only 2 genders, climate change is fake, Covid-19 came from china, the earth is flat and the vaccine is killing more people than it is helping @elonmusk",,,2022-04-15 22:27:08+00:00,,,,,
banished to the Shame Hole??????????????Maine,@artoffuckery My kid turned 5 this week and finally got her covid vaccine and now she can go out in public for the first time in her life. She is thriving.,,,2022-04-15 22:26:46+00:00,,,,,,
Dave,South Algonquin ON,This cannot possibly bode well ?? https://t.co/950B6fXzOw,,,2022-04-15 22:26:40+00:00,,,,,
Bobby,The Milky Way,"@sobalsoft @cheomitII @Corywalkerisrad @LonelyCajunMann @Nicky111Lady @JoeMomma833 @AndrewRoseSC Japan stopped using most of the mRNA vaccines. The vaccines don?? stop you from getting, spreading or dying from Covid, tons of side effects and thousands have died from the vaccine itself",,,2022-04-15 22:25:49+00:00,,,,,
Theyareus2,,"@ZenTigerNZ @Dame__Jane It?? likely that the risk of dying from the Pfizer Covid vaccine in men&lt;30 is greater than the risk of dying from Covid

Myocarditis post vaccine could  be fatal or cause long term damage of the heart

End the healthcare mandates in NZ

Too many young people are at risk",,,2022-04-15 22:25:34+00:00,,,,,
r_lee@fecs.net,,"Amply documented, it?? the Covid-19 mRNA ??accine??rather than the SARS-CoV-2 virus which is ??he killer?? 

Doctors for Covid Ethics demands that the COVID-19 ??accination??program be halted immediately worldwide.""",,,2022-04-15 22:25:21+00:00,,,,,
Anindya Dutta ????,Singapore,The latest study from Singapore showing how utterly ineffective #Sinovac is as a #Covid19 #Vaccine  https://t.co/oKvet6gnSR,,,2022-04-15 22:25:07+00:00,"sinovac,covid19,vaccine",,,,
Newsfeeder,"Sydney, New South Wales","@PRGuy17 the AZ vaccine was fine, was used by everyone not trying to win a political argument. the lies from the left about AZ have killed people. 

go live in covid-zero china mate. Dan's lockdowns would have been worse without ScoMo pushing back against it.",,,2022-04-15 22:24:58+00:00,,,,,
Christopher G. Adamo,,"If parents cared enough about the well-being of their children to remove them from this physical abuse, along with all the _mental/spiritual_ abuse that's been going on for a long time, it would quickly stop. This is an abomination from the schools/govt. https://t.co/Wd1ATeboTy",,,2022-04-15 22:24:40+00:00,,,,,
Let's Get Physical,,Talk sport commentator Nigel Pearson wrote articles encouraging people to experiment with a serum still in trial. https://t.co/bwnbVM5Bli ... https://t.co/kTyXjDTW0I,,,2022-04-15 22:24:25+00:00,,,,,
Nancy Jimenez,New Jersey.,California delays COVID-19 vaccine mandate for schoolchildren until 2023 https://t.co/hkFmEvBsF9,,,2022-04-15 22:24:18+00:00,,,,,
JESUS SAVES ALL,,"California to delay COVID-19 vaccine mandate for students - ABC News - https://t.co/cI9BjJHMMt via @ABC 

You can thank me..AND Tucker later, California ??",,,2022-04-15 22:24:12+00:00,,,,,
JonDong,,"@CassieSmith789 It?? amazing to me how many people defend the vaccine like they fucking know. Covid and the vaccine are both making people die. We??e allowed to make observations, it?? not propaganda you freaks. Stop trying to silence people for talking openly",,,2022-04-15 22:24:02+00:00,,,,,
FrankLeeBrian,Wembley,"@HannahB4LiviMP @valnevaSE @scotgov @DrAmirKhanGP @GMB Except, they failed to deliver as promised, on time, and their vaccine, like Coronavac, isn't as effective as the AZ or Pfizer vaccines. UKGov didn't pull the plug. They ordered 100 million doses which weren't delivered. https://t.co/8q1jnkhFl1 https://t.co/tYfLCSVOGR",,,2022-04-15 22:23:26+00:00,,,,,
Lou Stoule,"Ontario, Canada","@HeeTrugger @AmmahStarr @HopkinsMedicine We could argue long covid risk, like we can argue long vaccine side effects. These MRNA injections 4x a year. Could be the new cancer. We won't know for a decade. Like long covid. Difference is, we can avoid/control the vaccines. The virus is simply unstoppable/not preventable.",,,2022-04-15 22:23:12+00:00,,,,,
P K,Colorado,"@rory_wings4u @RealTBONEHusker That's not what was reported.
I'd like to see that Pfizer report in print from a reputable source. The vaccine weakening the immune system schtick is from a nut job in England.

ps. Google is free.

https://t.co/QGu02rksOs

https://t.co/U5MygmoDk1

https://t.co/VAmksjzqC1",,,2022-04-15 22:22:50+00:00,,,,,
Just Debbie,"Harrison ,Ohio",The British are now officially hiding Covid vaccine data https://t.co/OEH4f3vbcG @beebeejay22,,,2022-04-15 22:22:34+00:00,,,,,
Drew,"Atlanta, GA",@OccupyDemocrats Y'all do know the vaccine doesnt stop transmission of Covid-19 right?,,,2022-04-15 22:22:12+00:00,,,,,
TheNdCAA,,"NCAA Division 1 Michigan State University extends its COVID vaccine and booster mandates into next school year:?
https://t.co/lbfrSsYDIK",,,2022-04-15 22:21:52+00:00,,,,,
Northwest Herald - Shaw Local,"Crystal Lake, IL","The rate of COVID-19 vaccinations in McHenry County is on the rise since the start of April, with total vaccines eclipsing March?? total in less than two weeks, IDPH data shows. https://t.co/9v2pymW5ps",,,2022-04-15 22:21:05+00:00,,,,,
Rachael,"Baton Rouge, LA",@LiveNation Is Covid Vaccine or Test required for @CoastalMP @jimmybuffett,,,2022-04-15 22:20:58+00:00,,,,,
Lora Williams,,"@elonmusk Of course it?? dying. When you get your account suspended for pointing out, correctly, that the Covid ??accine??doesn?? prevent you from getting sick, something?? VERY wrong",,,2022-04-15 22:20:52+00:00,,,,,
Rhianwyn,Pimlico/ London,"The #CovidVaccine that isn't a #Vaccine.

Because it does not prevent you from getting #Covid_19. A vaccine prevents you from a disease.

One year ago I TWTed out:
""CovidWontKillYou_
The Covid VaccineWillKillYou""

Twitter suspended me for saying the obvious.

#CovidBillionaires https://t.co/bqjWdVTfCU",,,2022-04-15 22:20:35+00:00,"covidvaccine,vaccine,covid_19,covidbillionaires",,,,
Kelly Nay,,"@DocEMurray Ok, but the vaccines didn't stop the spread. So if covid causes clotting the vaccine can only make it worse.",,,2022-04-15 22:20:35+00:00,,,,,
Nancy Jimenez,New Jersey.,China was the world's biggest Covid-19 vaccine exporter. Not any more https://t.co/7dxbStxpGs,,,2022-04-15 22:20:32+00:00,,,,,
bear22,,@DudeBro2020 @VicMRodriguez @VicNobu It?? not 100% and has side effects kind of like the covid vaccine.,,,2022-04-15 22:20:25+00:00,,,,,
Chris ????,"Philadelphia PA, USA",Two Yankees players??status in jeopardy vs. Blue Jays over COVID vaccine status https://t.co/qVDAkVdG98 via @nypost,,,2022-04-15 22:20:03+00:00,,,,,
Los Angeles Times,"El Segundo, CA",L.A. Unified' s fall 2022 vaccine mandate in question as state delays its requirement https://t.co/lotJQnEbeY,,,2022-04-15 22:20:00+00:00,,,,,
desiderata,"Sydney, Australia",Booster shots safer than initial COVID-19 vaccine doses: study - https://t.co/AamxwycUBx https://t.co/hKoQ3hzxxG,,,2022-04-15 22:19:42+00:00,,,,,
LisaMarieDuke1,,"@piercedgeek Only the demonic misuse scripture.

https://t.co/9QEPjqdNHN",,,2022-04-15 22:19:21+00:00,,,,,
r_lee@fecs.net,,"The  legitimacy of the EU Digital Covid Certification Framework, the Pandemic Treaty and the QR Verification Code rests on the presumption that the alleged ??ovid-19 Pandemic is Real??and that the ??RNA Covid-19 vaccine constitutes a SOLUTION to the alleged Covid-19 pandemic.??,,,2022-04-15 22:19:01+00:00,
the4thpip,where the heart is,@demian_online @GreenWalker92 @ejustin46 @Gab_H_R Here:",,,,,,,,
,,,,,,,,,,
"https://t.co/qQpDCxmFCC""",,,2022-04-15 22:18:23+00:00,,,,,,,
Hunter Biden?? crack pipe,ROC,"@JustJames585 It?? been over unless your brain has been broken by propaganda and fear porn. Weak people. Maybe if they got covid and were fine after, they would feel stronger and more resilient. But they dont get the chance because they??e convinced to get injected with an experimental vaccine",,,2022-04-15 22:18:12+00:00,,,,,
Shaw Local,Illinois,"The rate of COVID-19 vaccinations in McHenry County is on the rise since the start of April, with total vaccines eclipsing March?? total in less than two weeks, IDPH data shows. https://t.co/ktoKv7trLI",,,2022-04-15 22:18:05+00:00,,,,,
Rob Bruce ??,,@ElGueroPesad0 @R160016 @jenneraub Maybe long covid is actually vaccine side effects?,,,2022-04-15 22:17:56+00:00,,,,,
"Melissa Marie, PhD","England, United Kingdom","@strsrundrgrnd Millions have had the vaccine and the side effects have been extremely minimal- the risks are very very low, whereas with COVID, they are not. My daughter has been fine. 

How do you think it weakens the immune system?",,,2022-04-15 22:17:47+00:00,,,,,
Victory or Death,"Nice try, feds","I went to Target to pick up a prescription.  There was a little kid there (maybe 5-ish) getting a covid vaccine.  She screamed and screamed and screamed ""no, no, I don't want to, it hurts it hurts.""  I mean, screaming.   I couldn't have done it to her.",,,2022-04-15 22:17:24+00:00,,,,,
New York Post Sports,"New York, New York",Two Yankees players' status in jeopardy vs. Blue Jays over COVID vaccine status https://t.co/wgiaq5BGFw https://t.co/Rg10pbVNQV,,,2022-04-15 22:17:24+00:00,,,,,
peter marshall,,"@JohnTory How do you know the vaccine helped and gave you the best protection possible , or are you just parroting what others are saying. Having had covid and knowing the symptoms are not that bad, i am glad that my immune system helped me and i have true immunity, not some trial drug .",,,2022-04-15 22:16:40+00:00,,,,,
New York Post,"New York, NY",Two Yankees players' status in jeopardy vs. Blue Jays over COVID vaccine status https://t.co/OhwCBp1wMN https://t.co/WfymtseTzo,,,2022-04-15 22:16:39+00:00,,,,,
KRCR News Channel 7,Redding | Chico | Red Bluff ,"This is a separate mandate from the one proposed in Senate Bill 871 which would have required the vaccine for children to attend childcare or school in person. That bill removed the personal belief exemption.
https://t.co/a8q7yzwNQl",,,2022-04-15 22:16:18+00:00,,,,,
????Lionel????,"Hell's Kitchen, USA","While California was the first state to announce that all school-aged children would require Covid-19 vaccines, state health officials are now walking it back by delaying a statewide mandate until at least July 2023.  https://t.co/qJ1gZkvre5",,,2022-04-15 22:16:00+00:00,,,,,
Spectrum Bay News 9,Tampa Bay area,"The Citrus County Health Department said despite not having federal funding to keep the vaccine sites open, it?? important for them to continue to provide the vaccine for their residents. @KatyaonTV explains. https://t.co/7pKjZFGQYm",,,2022-04-15 22:15:49+00:00,,,,,
Lora Williams,,"@mulhollandlover LOL that you think you??e not suppressing free speech. Why were people banned from Twitter for pointing out, correctly as it turns out, that the COVID vaccine would not prevent you from getting sick?? Good luck in your next career",,,2022-04-15 22:15:45+00:00,,,,,
Swedishchef,San Diego,"@Nockit1 @JonathanHannah @itisjustmebabe @AngryFleas @PremChamp1 @fitfreddy_ @FvckYourFear @SkepticalMutant @foofdawg @doritmi @kevinault @IdunsDaughter @pompili_amanda @JimeeLiberty @KStateTurk @YellowstoneRan1 @andylumm @mcfunny @KathyGa28615606 @richykirsh @provaxtexan @theanswer50 @doom37455413 @HighJanky @nuhope2022 @volpiranyas @GeoffSchuler @handmadekathy @NoMisinfoToday @PLHartungRN @MatthewNewell67 @ConsequentialBr @JonDaley7 @pawley_robert @TonyBaduy @noonienoodie @sammy44231 @JasonKowalyshyn @MaureenStroud @Monstercoyliar @tomsirolimus @SallyJiggles @LizNYC13 @AndrewLazarus4 @butterednoodIe @KayVonPaul @bartm @Alex_on_A14 @handyman_neil @raouldukeerik Sorry, but varicella vaccine is only slightly better than COVID vaccines. They are around 80% effective for preventing mild disease and 95% for severe disease. Sound familiar? 

Varicella zoster virus mutates much more slowly than SARS-CoV-2, so fewer variants to deal with.",,,2022-04-15 22:15:36+00:00,,,,,
Harvey Levin,,Over 565 million COVID-19 vaccine doses have been administered in the US. Roughly 70% of Americans 5 and older are fully vaccinated. Click to see more from @KPMG_US Center for Healthcare Regulatory Insight. #KPMGHC #ATW360 https://t.co/8hiSsGfONp https://t.co/IIZZWtzTZC,,,2022-04-15 22:15:28+00:00,"kpmghc,atw360",,,,
IN,Antarctica,"Awesome news ?? 

SA Covid vaccine plant may shut due to a lack of orders ????

Aspen Pharmacare tells the AU?? public health agency that it?? concerned about a lack of requests for coronavirus shots https://t.co/XRc8DuzpDw",,,2022-04-15 22:14:52+00:00,,,,,
Lorena Bonilla ????,Canada,Experts concerned that only 47 per cent of Canadians have received a COVID-19 booster shot /via @globeandmail https://t.co/5LBClSuywX,,,2022-04-15 22:13:58+00:00,,,,,
Vince Vickers,"Indianapolis, Indiana",Over 565 million COVID-19 vaccine doses have been administered in the US. Roughly 70% of Americans 5 and older are fully vaccinated. Click to see more from @KPMG_US Center for Healthcare Regulatory Insight. #KPMGHC #ATW360 https://t.co/pSryJhIo4f https://t.co/8mG48cuVzg,,,2022-04-15 22:12:48+00:00,"kpmghc,atw360",,,,
John Boffa,Alice Springs,@ranjitrao1 Without vaccine mandates levels would be nowhere near what they are now - this is a key measure that needs to stay. The SARS COVID-2 virus is intrinsically about ten times as deadly as influenza. Indoor masks and isolation if positive are small asks. Everything else can go,,,2022-04-15 22:12:31+00:00,,,,,
Bitcoin Sportsbook ??,??,NBA ?? Irving on vax saga: 'Made right decision for me' https://t.co/XOiV8YqHMj ?? https://t.co/0I4IIflkwI  ??https://t.co/nWsKKJbtC9,,,2022-04-15 22:12:17+00:00,,,,,
??SafeMoonAlien ?? /// #NFA ??FUDfighter??????My opinions are my Own,"@FluteOld @philipgeorge322 @AndersonAfDMdEP 2/ gonna get covid, if you get these vaccine's. Its total mind control. It makes no sense at all. And everybody that thinks otherwise should question their own beliefs, and critical thinking. If they keep telling you to take shots you are gonna keep taking them ??",,,2022-04-15 22:12:09+00:00,,,,,,
Edmund Kudzayi,"Harare, Zimbabwe","""Health Canada says almost 1.5 million doses of COVID-19 vaccines held in a national inventory have expired since January ... Uptake of vaccines has slowed even as governments and public health authorities urge people to get a booster shot.""

https://t.co/swfNGw2UnY",,,2022-04-15 22:10:53+00:00,,,,,
C TRUTH,"Farm Country Wisconsin, USA","@4protectedright @JOHNCARDELLA2 @SenRonJohnson @milwaukeeva You speak in absolutes like always or never and you??e already backed yourself into a corner. The link you provided on compensation does not list the Covid 19 vaccine. It does, however, list vaccines for measles and polio",,,2022-04-15 22:10:10+00:00,,,,,
WBBM Newsradio,"Chicago, IL","Pfizer plans to submit data to the FDA regarding COVID-19 vaccine booster shots for children age 5 to 11.  
https://t.co/G0Dk3dHD7o",,,2022-04-15 22:10:06+00:00,,,,,
Reality,,"@LunarBeaches @Rosebudd40 @AngieMoiram @Sabrina15647051 @GerlindeMcKenn2 @EL_ChmyKmT @sophieakhtarxo You said this after you talked about the ""billions""

""Covid deaths and symptoms are far higher than those caused by the vaccines.""

The billions does not prove that the sentence is true.
We don't know how many deaths were caused by the vaccine because there's no way to measure",,,2022-04-15 22:10:00+00:00,,,,,
james,Calif.,"@DebraMark1 &amp; @johnandkenshow hi, this vaccine mandate will never go away completely! I'm telling you you're being lied to and the latest chicken outbreak (&amp; mass murderer of said chickens) is directly related to covid and what's about to happen to humans!",,,2022-04-15 22:09:44+00:00,,,,,
Christopher Orr,DC,"Kyrie should have ""Made the right decision for me"" put on his tombstone when the day comes. It seems to be about as close to a coherent belief system as he has. https://t.co/Q9dYnCSrIY",,,2022-04-15 22:09:35+00:00,,,,,
CRUZ FOR THE PEOPLE (CA),"Palm Springs, CA","Seriously. Move on, seriously. Science, corps and Government just can?? get off the taxpayer teet for their pet project and money funneling powerhouse, COVID. #covidcashcow #ccc  https://t.co/y5kWvX4jAh",,,2022-04-15 22:09:31+00:00,"covidcashcow,ccc",,,,
james,Calif.,"@johnandkenshow hi, this vaccine mandates will never go away completely! I'm telling you you're being lied to and the latest chicken outbreak (&amp; mass murderer of said chickens) is directly related to covid and what's about to happen to humans!",,,2022-04-15 22:09:05+00:00,,,,,
thewriterJanet Walker,"Beverly Hills, CA","Beltway Insider: Biden/SCOTUS, Ukraine Bucha Massacre, Jan 6 Committee COVID/Vaccine Totals, Tiger Woods, Will Smith https://t.co/3yFzWr9J3t",,,2022-04-15 22:08:50+00:00,,,,,
MexicanYenta ??????,New Mexico/NYC.,"@denise_dewald The shingles shots sucked as much as the COVID shots did in terms of making me feel like crap for days and making my arm sore for days, but I would absolutely get them again. Two close friends had shingles and both told me emphatically that I needed to get the vaccine.",,,2022-04-15 22:08:45+00:00,,,,,
dan,"Boston, MA","one of the many reasons the vaccine-shaming stance was never it:

both of the government's vax injury compensation programs have not covered COVID-19 vax injury, and the companies producing it have total legal immunity. this is a very important read

https://t.co/h9OuJAqSww",,,2022-04-15 22:08:41+00:00,,,,,
Wren Hill,,@amavictoria Drop the mandates of clearly ineffective vaccines? (The mandates you supported &amp; promoted). And perhaps admit that covid vaccine injuries aren't rare so that doctors can treat proactively?,,,2022-04-15 22:08:39+00:00,,,,,
NoBubbleGum,,"@AmericnXX handle is their covid vaccine dates ??

Take the time out of your day to thank them for their service. https://t.co/fbfJiO89Kw",,,2022-04-15 22:08:14+00:00,,,,,
datadrivenmom,,Delay of the #covid student vaccine mandate till 2023? Perhaps some #California  politicians including @drpanmd terms end 2022? https://t.co/lPA4SzT2py,,,2022-04-15 22:07:31+00:00,"covid,california",,,,
