username,location,text,True or Not,isSarcasm,tweet_date,hashtags_extracted,,
BeeJaayCee,,@blogNekoRandom @ZemosHD720p Why? Name another vaccine that works that way? The only people here spreading covid misinformation has been leftist media and Biden admin.,,,2022-04-16 00:48:45+00:00,,,
Dr. Berry,United States,LLP 189: Why the FDA approved the Pfizer Covid-19 Vaccine? https://t.co/pziMqMpSsG #LunchLearnPod  #podsincolor #somedocs https://t.co/xwApVjYNS6,,,2022-04-16 00:48:40+00:00,"lunchlearnpod,podsincolor,somedocs",,
Michael P. Kern,"Locust, NC","Elon Musk GOD!
Donald Trump should be President because there was fraud!
The COVID Vaccine is trash and should not be mandated.
Fidel Castro is Justin Trudeau's father.
Joe Biden is the WORST person ever.
Hunter Biden's laptop says that him and The Big Guy love China.
@@TedNugent",,,2022-04-16 00:48:33+00:00,,,
Epoch Times Canada,Canada,"A group of 15 students is taking #legalaction against #RyersonUniversity for deregistering them from their programs after they chose not to comply with the school?? #VaccineMandate 
https://t.co/xn06F8VNlK",,,2022-04-16 00:48:01+00:00,"legalaction,ryersonuniversity,vaccinemandate",,
ArsenalHenryFan,,"@HumbertoAra2601 @Lukewearechange Dude, every single person I know, including myself and my family, has been vaxxed and boosted with Pfizer and/or Moderna, and have gotten COVID in the past month.  Our ??estern??vaccines are no more effective than Sinovac",,,2022-04-16 00:47:30+00:00,,,
LettersFromAustralia ??,Sydney,"@elonmusk I don?? see your tweets in my feed anymore. Is that what it is that Twitter does to me when I post a link from the @bmj_latest British Medical Journal, oldest and most respected peer-reviewed medical journal in the world, raising concerns about ",,,2022-04-16 00:47:28+00:00,,,
MacKenzie,,"As early as 2019, Moderna would have developed its anti-Covid vaccine with NIAID (Dr. Fauci) before the epidemic occurred. https://t.co/ZHUY6meqX5??https://t.co/H5SwByanq9",,,2022-04-16 00:47:17+00:00,,,
Allison Murphy,South Dakota ,"@michaelmina_lab I think it needs to be both masks and vaccines. 
Top 3 things people can do to not get covid:
1. Vaccine
2. Wear a mask
3. Social Distance 
Not just about you. You can unknowingly infect or kill someone without knowing it.",,,2022-04-16 00:47:14+00:00,,,
"Sophia, MPH","Durham, NC",@AmerAcadPeds Where is the letter for under 5s? Your advocacy is desperately needed and conspicuously absent. https://t.co/2iJlW72eEx cc @AAPPres,,,2022-04-16 00:47:03+00:00,,,
radarlove75,"Tarrant, Texas, USA","Covid vaccine lies, inflation propaganda, here?? what isn?? true - pay attention Faux viewers??NOT REAL NEWS: A look at what didn't happen this week (from @AP) https://t.co/PG3Su98FDi",,,2022-04-16 00:46:18+00:00,,,
Charlie Gordon,,@lanticoast @thepostermafia @Twitter If you don't understand the difference between a covid vaccine injury and an adverse event reported to VAERS you should probably stop commenting.,,,2022-04-16 00:46:08+00:00,,,
American Hound,,"What would you call this?
Can we say it out loud?

https://t.co/SPotXywA5J",,,2022-04-16 00:46:01+00:00,,,
BasketBall Ghana,Ghana,"Kyrie Irving reiterates, ?? made the right decision for me??by not getting COVID-19?vaccine https://t.co/iiWJqd2ZFE",,,2022-04-16 00:45:13+00:00,,,
Chad Sears,,@HeyitsAgain1 @DrAseemMalhotra This article is from 2015. Apparently enough athletes were succumbing to HCM to warrant an article. This was well before the Covid pandemic and ??readed??mRNA vaccine poisoning you??e looking for here.,,,2022-04-16 00:45:09+00:00,,,
FACCT,,"Let's stay vigilant as we move towards an 'endemic' policy!

#HowAboutNow #cc4cc #vaccine #nonvaccine #ceem #inlandempire #sanbernardinocounty #riversidecounty #chinocounty #lacounty #inlandempirenews #covid_19 #coronavirus

@f.a.c.c.t
@ceemcoop
@georgelamb7584
@lamb1156 https://t.co/6Aslu4Hlub",,,2022-04-16 00:45:05+00:00,"howaboutnow,cc4cc,vaccine,nonvaccine,ceem,inlandempire,sanbernardinocounty,riversidecounty,chinocounty,lacounty,inlandempirenews,covid_19,coronavirus",,
Joe Marcone,,@KDKA That's not an endorsement to get the vaccine. An endorsement would be I didn't get covid,,,2022-04-16 00:44:50+00:00,,,
A. Stolfi,,"Pfizer COVID booster spurs immune boost in kids 5 to 11, study shows https://t.co/5S7JVbQInp",,,2022-04-16 00:44:39+00:00,,,
Eve,"Fort Myers, FL",@FoxNews More ppl have died from Covid under Biden and Trump handed biden a vaccine.,,,2022-04-16 00:44:35+00:00,,,
Evan Platt,"Fremont, CA","@RepMTG So I think there's a simple solution here: If the military is requiring a COVID vaccine, and you are unwilling to get the Vaccine, perhaps joining the Military isn't for you.",,,2022-04-16 00:43:56+00:00,,,
Erin M. Kelly,"Altoona, PA","Thank you to all my followers, new and old. My road back to health has taken a detour. I now have stomach issues due to an over abundance of medication to fight my migraine caused by the COVID-19 vaccine. In the words of @_nightbirde, ??retty beat up, but I still got dreams.??,,,2022-04-16 00:43:47+00:00,
thewriterJanet Walker,Beverly Hills"," CA""","Beltway Insider: Biden/SCOTUS, Ukraine Bucha Massacre, Jan 6 Committee COVID/Vaccine Totals, Tiger Woods, Will Smith https://t.co/puIlIYb0sJ",,,2022-04-16 00:43:21+00:00,
CardiacRN ????,"@BeardedXRP @Deadferrets @WotsOnInfo @KellyHarrelson5 Your level of ignorance should be painful. The vaccine has saved millions. Oh, and over one million people died from your ""sniffles."" Oh, a look up ""long Covid."" https://t.co/SpstPLWpSe",,,2022-04-16 00:42:49+00:00,,,,
susan morris,"Birmingham,AL (Chicago Native)",@jimharringtonkk I'm old enough to remember when nobody had a Covid Vaccine.,,,2022-04-16 00:42:26+00:00,,,
Joey,,"@jimblac68628171 @DawnsMission @GDujanovic I don?? care if you get the vaccine or not. I?? vaccinated, because I have issues that lead me to believe a bad case of COVID could complicate, and I am (was) constantly exposed. Right now, where I am, COVID isn?",,,2022-04-16 00:42:07+00:00,,,
Sir TMJS ?????????????????Sheffield,"@kcceleb @biscuitsgod @Sandancer1977 @BBCLauraKT Stop drinking the koolaide and listen to the real scientists and medics who do not have an axe to grind.

All the 'research' you used is not real. 

Covid kills people. Young and old. It's not a hoax or a l",,,2022-04-16 00:42:00+00:00,,,,
Ellen Seebacher,Massachusetts,"@Brave_Recovery @Zoey_1976 @Gab_H_R ??ropped dead after vaccine?? Was there a bad batch in Ohio? Because the number of adverse events from COVID vaccines nationwide is far under 1 per 1,000, and that?? adverse events, not fatalities. (1/2)",,,2022-04-16 00:41:25+00:00,,,
Boe Analyst,Vancouver,"Having trouble reconciling your data: ""deaths within 28 days of receiving a COVID-19 vaccine"" using life tables against the age cohort vaccination counts.

Any suggestions??? #COPS

You also seem to be potentially missing some deaths.

@sarahjestock @EdinburghUni https://t.co/GsyLVtGd61",,,2022-04-16 00:41:05+00:00,cops,,
PowerHouseTruth,,"They call it a vaccine.
They call it covid.
They call it Remdesivir. https://t.co/Xx0FvBrpQM",,,2022-04-16 00:41:00+00:00,,,
CourtneeRae procrastinating is my cardio,United States,"The book talks but doesn't name the president who bungled the covid response, politicized a vaccine and got impeached. Let me yell this for the people in the back",,,2022-04-16 00:41:00+00:00,,,
Santee Patch,"Santee, CA",The move means many parents reluctant to get their child vaccinated will have another school year before the state mandate kicks in. https://t.co/d83Vv8OH3X,,,2022-04-16 00:40:37+00:00,,,
ahopeforchange,,"@POTUS Biden should be charged for the murders of the over 800,000 Americans who died from his virus. Biden knew about the vaccines when COVID broke out. As Americans were dying he was calling Trump a liar for saying we would have a vaccine. Biden kept th",,,2022-04-16 00:39:51+00:00,,,
Happily in Love,,"@CryptoCuddler @brianfidler @ZuzuOnFire @Fiorenzo_Pazzo @AmazingNature00 Oh you lole being silly. Unlike you, I know every death is to be mourned, every child death is a tragedy. Where your silliness shines through: you're very keen on blaming the 1 death",,,2022-04-16 00:39:01+00:00,,,
John Sniper .,Vaals ( Limburg,"NO ONE WORLDWIDE DIED TO FAKE COVID, BUT THE VACCINE DOES!!!!!!!!",,,2022-04-16 00:38:54+00:00,,,
Skyhawk999,,"Insane Spike in Heart Attacks and Strokes Prompts German Emergency Services to Demand Suspension of Covid ""Vaccine"" Mandates https://t.co/PQeyWrFkjZ",,,2022-04-16 00:38:51+00:00,,,
Alex P. Keaton,Canada,"THREE doses of this dangerous vaccine, it DIDN'T keep him from getting COVID, &amp; he STILL needs to ISOLATE to avoid spreading it. ALL THIS EXPENSE from government to buy these useless &amp; dangerous vaccines to supposedly limit ""severity"" of symptoms that would have LIKELY been mild. https://t.co/vMjgNAmXlv",,,2022-04-16 00:38:15+00:00,,,
The Real Truther,"Orange County, California","@LettersFromOz It?? nonsense. 

https://t.co/ikmPVfIj8W",,,2022-04-16 00:37:36+00:00,,,
HT Punjab,"Chandigarh, India","Private hospitals in Chandigarh are hesitant to buy more stock to administer precautionary Covid-19 vaccine dose to adults amid tepid public response and capping of price by the Union government.

(Mandeep Kaur Narula reports)
https://t.co/vH0ytK36XL",,,2022-04-16 00:37:25+00:00,,,
Michelle,Adelaide South Australia,"@koblinz @adelaidians @SAHealth @ScottMorrisonMP @PMalinauskasMP @drkerrynphelps Cancer isn't contagious, there are restrictions &amp; advice in place to help stop people getting it though. Influenza has a yearly vaccine, it is contagious. Cars have seatb",,,2022-04-16 00:37:23+00:00,,,
NM,Ottawa,@Katia_nov @Charles09258937 @CNN The same people who said drs were just putting COVID as the cause of the death to pump the numbers are pretty quick to blame the vaccine on every single medical condition out there.,,,2022-04-16 00:36:28+00:00,,,
thewriterJanet Walker,"Beverly Hills, CA","Beltway Insider: Biden/SCOTUS, Ukraine Bucha Massacre, Jan 6 Committee COVID/Vaccine Totals, Tiger Woods, Will Smith https://t.co/wsTJcuL8d1",,,2022-04-16 00:36:20+00:00,,,
The Real Truther,"Orange County, California","@LettersFromOz Again that wasn?? true of the polio vaccine. And that wasn?? true of this vaccine. If, god forbid, we waited a decade millions more would be dead. Why is Hong Kong suffering mass deaths &amp; New Zealand isn?? with similar cases and no prev",,,2022-04-16 00:36:14+00:00,,,
ryckson smythe:no pronouns req'd,Canada,"Gee, where have be recently heard about adenovirus?Hmm...oh yeah, I know, the ASTRA ZENECA COVID VACCINE! The gift that just keeps on giving. Along with Sputnik. J&amp;J. Y'all should see your doctors and book LFTs.
https://t.co/kMZxAxsfL8",,,2022-04-16 00:36:04+00:00,,,
thewriterJanet Walker,"Beverly Hills, CA","Beltway Insider: Biden/SCOTUS, Ukraine Bucha Massacre, Jan 6 Committee COVID/Vaccine Totals, Tiger Woods, Will Smith https://t.co/lCcfSvSXob",,,2022-04-16 00:36:03+00:00,,,
Mount Helix Patch,"Mount Helix, CA",The move means many parents reluctant to get their child vaccinated will have another school year before the state mandate kicks in. https://t.co/16bFEX0aBl,,,2022-04-16 00:36:02+00:00,,,
#MasksInSchools Dr Noor Bari,New South Wales ,"@fitterhappierAJ @Alitis__ OMG. 

They are still at it with the infection acquired immunity thing? 

Omicron gives poor protection. 

All COVID-19 variants have a significant risk of serious chronic illness.

Death is a side effect. 

STOP IT! No real vac",,,2022-04-16 00:34:46+00:00,,,
Lithium Hard Rock,Australia,"@sidherian @drkerrynphelps @JaneCaro ok i thought if you were vaccinated you would not get covid, remember all the talk about that? The vaccine would stop it. 1 shot then 2 shots then boosters!!! You really think they know what they are doing?",,,2022-04-16 00:34:30+00:00,,,
Oddbunny,,"@suenosandaluces @vglong4 @AdvanzCosmetica @UnityNewsNet They did report it, but the vaccine status isn't mentioned and seems to be insignificant. I half wondered if that's why so many sports people had heart issues, as perhaps they hadn't felt vulnerable",,,2022-04-16 00:34:09+00:00,,,
Physician's Weekly,"Basking Ridge, NJ","strategy that examines topics w/ your colleagues' perspectives through multiple lenses to illustrate the impact on their (&amp; your) practice!

First topic is pediatric #COVID19 #VaccineHesitancy
https://t.co/TeLqcVbIpS

#MedTwitter #SoMeDocs https://t.co/aHr7EKnfmg",,,2022-04-16 00:34:00+00:00,"covid19,vaccinehesitancy,medtwitter,somedocs",,
Clairvoyant Curt,,@DrAseemMalhotra Could it be the result of having Covid at one time  in addition to the vaccine?,,,2022-04-16 00:33:39+00:00,,,
Emilia Kile,,"Cam Newton Plans NFL Return, Gets COVID Vaccine https://t.co/kNAwv5fkmC",,,2022-04-16 00:32:25+00:00,,,
BioUnit,,"@backagain1916 @chellew_grant @dunvirkin The actual point of my post, which you are clearly too obtuse to recognise, is the countless people who received the vaccine and yet developed COVID-19, and/or suffered harmful adverse reactions. No media focus on ",,,2022-04-16 00:31:08+00:00,,,
Sarah Kilpatrick,australia,@Silverquick13 @VictorianCHO https://t.co/UQuA1Ye1SB but also refer to ATAGI https://t.co/TJ5aCenOcG,,,2022-04-16 00:31:05+00:00,,,
Los Angeles Times,"El Segundo, CA","The Los Angeles Unified School District, among the largest school districts in the nation to mandate student COVID-19 vaccines, is now confronted with a pivotal decision over whether to stick with its requirement for fall 2022 or align with the state 
https://t.co/lotJQnmzQo",,,2022-04-16 00:30:37+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@Parallel_OO @elonmusk @newsmax @TheShyKneeDuo I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to dis",,,2022-04-16 00:30:28+00:00,trudeaumustgo,,
Global Circulate,India,California delays COVID-19 vaccine mandate for schoolchildren until?2023 https://t.co/sQmQkUBLyl,,,2022-04-16 00:30:17+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@DPSLBMD I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says nee",,,2022-04-16 00:30:16+00:00,trudeaumustgo,,
KDKA,"Pittsburgh, PA","Both Gainey and Fitzgerald credit the vaccine for keeping their symptoms to a minimum.  
 https://t.co/44oc8dNfDl",,,2022-04-16 00:30:09+00:00,,,
Spectrum News 1 Wisconsin,"Milwaukee, WI","Gov. Tony Evers vetoed 28 Republican bills on Friday that would have dissolved the Milwaukee school district, prevented certain COVID-19 vaccine mandates and made it more difficult to obtain unemployment benefits: https://t.co/O50MHZ7Lrb https://t.co/Yz42QcssGC",,,2022-04-16 00:30:08+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@WillybeGood69 I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he sa",,,2022-04-16 00:30:07+00:00,trudeaumustgo,,
WESD Schools,"Glendale and Phoenix, Arizona",This week?? update includes info. about Washington?? 130th Anniversary; a Raz-Plus Challenge Update; Head Start Enrollment; Nutrition Services Weekly Job Fair; COVID-19 Free Testing and Vaccine Locations; and Health Dashboard. Visit https://t.co/Lq5GkeQRXm for more. #WESDFamily https://t.co/Mff46IXGQL,,,2022-04-16 00:30:04+00:00,wesdfamily,,
WebMD,USA,Pfizer announced yesterday that a third shot of its COVID-19 vaccine boosts immune protection in children ages 5 years to 11 years. https://t.co/88b4DcSGKo https://t.co/SANEK5yJEg,,,2022-04-16 00:30:01+00:00,,,
KHON2 News,"Honolulu, Hawaii","Many are wondering about the importance of booster shots for protection against COVID-19. Click to read more on vaccine effectiveness and what it means if you've already been infected with omicron. #COVID19 
https://t.co/zPmuYYbz04",,,2022-04-16 00:30:00+00:00,covid19,,
Maar Hakimua,,"None of the U.K. or Spanish kids had the hepatitis A, B, C, or E viruses, typical infectious causes of the disease. But a handful of children tested positive for SARS-CoV-2 infection shortly before or upon hospital admission; none had received a COVID-19 vaccine.",,,2022-04-16 00:29:54+00:00,,,
Melvin Rodriguez,"Massachusetts, USA","Every team has players in the same boat. They should be docked pay for missing games. 
Two Yankees players in jeopardy vs. Blue Jays over COVID-19 vaccine status https://t.co/nHt79Z2lsN via @nypostsports",,,2022-04-16 00:29:33+00:00,,,
Devin????#Bluelivesmatter????#BacktheBlue????,,@JoeG64769416 Show up and when asked say ??none of your business.??My Mom and Dad asked me if I had my Covid Vaccine and told them the same. They were silent for a moment but still wanted to see me. Game over.,,,2022-04-16 00:29:31+00:00,,,
thewriterJanet Walker,"Beverly Hills, CA","Beltway Insider: Biden/SCOTUS, Ukraine Bucha Massacre, Jan 6 Committee COVID/Vaccine Totals, Tiger Woods, Will Smith https://t.co/UAjHhmvyVV",,,2022-04-16 00:29:25+00:00,,,
Diana Limuco,,@KyrieIrving @elonmusk Yearly covid vaccine is the future.,,,2022-04-16 00:29:20+00:00,,,
Martin Guerra,,@trabaria @mega_yanni @benshapiro It?? not that I?? scared to get the Covid vaccine.  I don?? trust the government who tells us they care about us and want to protect us and at the same time they??e opened the flood gates at the southern border and are al,,,2022-04-16 00:28:29+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@christinapapou @CateFrankGate @alanfryermedia I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to dis",,,2022-04-16 00:28:09+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@DeanDavis33 I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says",,,2022-04-16 00:27:57+00:00,trudeaumustgo,,
"Moderna, Myself and I","Atlanta, GA",Not my sis mom getting Covid for a 3rd time??like sis get the vaccine already. Clearly natural immunity not working for you.,,,2022-04-16 00:27:50+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@JoeTheberge I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says",,,2022-04-16 00:27:45+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@poisxo I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says need",,,2022-04-16 00:27:31+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@LisaACampbell3 I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he s",,,2022-04-16 00:27:07+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@darren_nicholls I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he ",,,2022-04-16 00:26:55+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@neillbuswell I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he say",,,2022-04-16 00:26:46+00:00,trudeaumustgo,,
HeyHeyPaula,,"@RonFilipkowski And what about this?
""Sen. Ted Cruz (R-TX) accused Big Bird of spreading government propaganda after the ""Sesame Street"" character tweeted about receiving his Covid-19 vaccine.""",,,2022-04-16 00:26:43+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@SeanHawthorne I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he sa",,,2022-04-16 00:26:03+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@jamie_blom I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says ",,,2022-04-16 00:25:49+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@StrikeFord I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says ",,,2022-04-16 00:25:34+00:00,trudeaumustgo,,
Maggie,Co. Longford. Eire,"@RestDollfaceJMT @heather50458151 @MeghansMole @BaronessBruck @UKParliament As I've said often,,,RF&amp;UK govt. have been a tad busy for last 18 months or more.Brexit talks fiasco,Covid.Gen Election. Mexit.Boris nearly dying. Soapra. Hospital building.Ni",,,2022-04-16 00:25:19+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@MattWalshBlog I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he sa",,,2022-04-16 00:25:03+00:00,trudeaumustgo,,
Arien Y,,"That the mRNA-based COVID shot is not a real vaccine is evidenced by the sheer number of ??oosters??required to keep COVID-19 at bay. When the injections were released at the beginning of 2021, the promises flowed.",,,2022-04-16 00:25:01+00:00,,,
A Doc that Is Post,,My Internet decided to fuck up my job interview today for the job that I want most out of all the ones to which I??e applied. ?? And this was after driving half an hour to CVS for a COVID booster shot just to be told they were out of vaccine. ??????,,,2022-04-16 00:25:00+00:00,,,
ilike2look,,@vancecrofoot @TheBig5 @TimRunsHisMouth @elonmusk ??he vaccine is safe and effective????ou won?? catch covid when you??e vaccinated????here?? no need to worry about side effects????he vax is fully approved(fda approval letter only mentioned comirnaty not ,,2022-04-16 00:24:38+00:00,,,,
Iain Mackenzie,"Toronto, Ontario","@Anthony__Koch @SabrinaMaddeaux I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his ",,,2022-04-16 00:24:32+00:00,trudeaumustgo,,
Andrea,"London, UK","@Gwyn76357026 @RealDeniseWelch It's actually true that to some extent 'they' had the vaccine before Covid because of work already done on vaccines for Sars &amp; Mers which could be quickly tweeted. Wasn't already manufactured though.

Vaccines are preven",,,2022-04-16 00:24:17+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@Anthony__Koch I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he sa",,,2022-04-16 00:24:14+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@MattBrevner @RebelNewsOnline I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his fr",,,2022-04-16 00:24:03+00:00,trudeaumustgo,,
Cris @ Ayaka Waiting Room,,"@NewFranKK It's quite the rabbit hole
Back in 2020 he believed in the BLM = terrorists conspiracy theory
In late 2021 he gets COVID &amp; then says ""it wasn't that bad, there was no need for a lockdown or vaccine""
And now he thinks 9/11 should have been b",,,2022-04-16 00:24:03+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@canmericanized I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he s",,,2022-04-16 00:23:52+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@cancivlib I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says n",,,2022-04-16 00:23:39+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@TheBeaverton I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he say",,,2022-04-16 00:23:25+00:00,trudeaumustgo,,
????James Lee????,United States,The answer is tell Toronto to stick it. ??wo Yankees players in jeopardy vs. Blue Jays over COVID-19 vaccine status https://t.co/DHUycaruMJ via @nypostsports,,,2022-04-16 00:23:20+00:00,,,
I Am Holy And Godly,,"@edyong209 THE PANDEMIC IS FAKE AND IT WILL BE OVER WHEN YOU EXPOSE THE TRUTH 

COVID IS NOT A VIRUS BUT SNAKE VENOM FOUND IN THE VACCINE,  BOOSTERS AND TAP WATER.",,,2022-04-16 00:23:18+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@shawn_whatley @rupasubramanya I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his f",,,2022-04-16 00:23:01+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@brianlilley @JustinTrudeau I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his frie",,,2022-04-16 00:22:51+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@TrueNorthCentre @ezralevant @CandiceMalcolm I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distr",,,2022-04-16 00:22:38+00:00,trudeaumustgo,,
Iain Mackenzie,"Toronto, Ontario","@sunlorrie I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says n",,,2022-04-16 00:22:28+00:00,trudeaumustgo,,
Marty,???? ,"@terrychristian @monkey1509 @Damo_bass @jonnfin2 @jimharringtonkk Semantics aside, what is the cause of the increasing Covid death rates? Vaccine efficiency not as successful as predicted? Lack of social distancing? Another reason? This is a genuine quest",,,2022-04-16 00:22:22+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@Roman_Baber I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he says",,,2022-04-16 00:22:14+00:00,trudeaumustgo,,
evie,,there is no way the people attending coachella are going to come back covid negative when there is no mask mandate or negative covid test/vaccine mandate,,,2022-04-16 00:22:06+00:00,,,
Chad Graham,"Rankin inlet , Nunavut ,Canada",Glad they admitting the vaccine has side affect. And you have a 99% survival rate from covid. https://t.co/NW7assCAgM,,,2022-04-16 00:22:00+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@Emmanuel_Rach I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his friends who he sa",,,2022-04-16 00:21:57+00:00,trudeaumustgo,,
AY8888 ??,,"@ICANdecide You should see the Failed VRBPAC Covid Vaccine Strategy - the FDA approved Pfizer's 4th shot BEFORE the VRBPAC Meeting. FDA disregarded their experts.  And NOVAVAX approved in Canada, Switzerland, Europe, Australia, WHO is ignore by the FDA - ",,,2022-04-16 00:21:51+00:00,,,
Iain Mackenzie,"Toronto, Ontario","@Roman_Baber @fordnation @SylviaJonesMPP I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribut",,,2022-04-16 00:21:43+00:00,trudeaumustgo,,
val lyng,,"@Drummerdog @newsmax or even nancy got 3 jabs of vaccine but still got covid, maybe she was cured of ivermectin on her last covid",,,2022-04-16 00:21:42+00:00,,,
I Am Holy And Godly,,@ronlin THE #COVID-19 virus is not a virus but SNAKE VENOM  found on the Vaccine and tap water.,,,2022-04-16 00:21:35+00:00,covid,,
Iain Mackenzie,"Toronto, Ontario","@Sean97811918 @liberal_party I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda - https://t.co/HZVXBMK9GU

A friend of mine recently bought 40 of these books to distribute to his fri",,,2022-04-16 00:21:24+00:00,trudeaumustgo,,
